question,answer
Какие профильные предметы доступны в образовательной программе магистратуры 'Media Technologies'?,"Образовательная программа 'Media Technologies' включает профильные предметы: алгоритмы и структуры данных, а также базы данных"
Какие профильные предметы представлены в образовательной программе магистратуры 'Project Management'?,Образовательная программа 'Project Management' включает профильные предметы: менеджмент и организация бизнеса
Какие профильные предметы охватывает образовательная программа магистратуры 'Digital Public Administration and Services'?,Образовательная программа 'Digital Public Administration and Services' включает профильные предметы: менеджмент и организация бизнеса
Какие условия необходимо выполнить для успешной сдачи комплексного тестирования?,"Для успешной сдачи комплексного тестирования необходимо достичь порогового балла в научно-педагогическую магистратуру, который составляет 75"
Какие документы необходимо собрать для поступления на платное отделение?,"Для поступления на платное отделение необходимо собрать полный пакет документов, список которых предоставлен на соответствующей странице университета"
Когда и как производится оплата за обучение на платном отделении?,"Оплата за обучение на платном отделении производится при поступлении. Студент должен оплатить первый транш в соответствии с выбранной системой оплаты и размером скидки, если предоставляется."
Как производится подача заявления на государственный грант?,"Подача заявления на государственный грант осуществляется после успешной сдачи комплексного тестирования и сбора полного пакета документов. Студенту необходимо отправить электронный чек об оплате за обучение (при поступлении на платное отделение) и подать полный пакет документов через приемную комиссию AITU по указанному адресу. После подачи заявления на государственный грант, студент может рассчитывать на его получение, что снизит стоимость обучения на магистратуре"
Что представляет собой программа академической мобильности AITU?,"Программа академической мобильности AITU предоставляет возможность студентам провести один триместр в другой стране в качестве студента зарубежного университета, не прерывая своего обучения в Astana IT University. Цель программы - интернационализация высшего образования и культурная интеграция молодежи разных стран."
Какие зарубежные вузы являются партнерами Astana IT University для программы академической мобильности?,"Партнерами Astana IT University для программы академической мобильности являются следующие вузы: KU Leuven, Beijing Institute of Technology, Dortmund University of Applied Sciences and Arts, Schmalkalden University of Applied Sciences, Cracow University of Technology, Lawrence Technological University, Universitat Politecnica de Valencia, Czech University of Life Sciences, Kyungpook National University, Tallinn University of Technology, The Hong Kong Polytechnic University и Boston University Metropolitan College"
Какие преимущества предоставляет программа академической мобильности для студентов AITU?,"Программа академической мобильности предоставляет студентам отличную возможность познакомиться с культурой и системой образования другой страны, улучшить владение иностранными языками, завести новых друзей и приобрести бесценный опыт. Обучение в сильном зарубежном вузе будет хорошим дополнением к диплому о высшем образовании и повысит конкурентоспособность студента на рынке труда."
Каковы основные предметы образовательной программы магистратуры по направлению 'Компьютерные науки и инженерия'?,"Основные предметы образовательной программы магистратуры по направлению 'Компьютерные науки и инженерия' (код программы: 7M06105) включают изучение алгоритмов и структур данных, программирование, разработку программных систем, компьютерную архитектуру, системное программирование, облачные вычисления, искусственный интеллект и другие темы, связанные с компьютерными науками и инженерией. Программа призвана развивать у студентов навыки разработки сложных программных решений и обеспечивать их подготовку к профессиональной деятельности в сфере компьютерных технологий и инженерии"
Какие предметы включает образовательная программа магистратуры по направлению 'Цифровые государственное управление и услуги'?,"Образовательная программа магистратуры по направлению 'Цифровые государственное управление и услуги' (код программы: 7M04102) включает изучение управления и организации бизнеса в контексте цифровых технологий и государственного управления. Студенты изучают процессы цифровизации государственных услуг, информационные технологии в управлении, разработку электронных государственных сервисов, кибербезопасность и другие темы, связанные с применением цифровых технологий в государственном секторе"
Какова основная специализация образовательной программы магистратуры по направлению Управление проектами?,"Основная специализация образовательной программы магистратуры по направлению Управление проектами (код программы: 7M04101) связана с развитием навыков и знаний в области управления проектами. Студенты изучают методы и инструменты управления проектами, планирование и контроль проектных задач, риск-менеджмент, лидерство и командообразование, а также другие аспекты, касающиеся эффективного управления проектами в различных отраслях и организациях"
Каковы профильные предметы образовательной программы магистратуры по направлению 'Медиа технологии'?,"Профильные предметы образовательной программы магистратуры по направлению Медиа технологии (код программы: 7M06107) включают изучение алгоритмов и структур данных, баз данных, а также других технических аспектов в контексте медиа технологий. Студенты получают знания в области графического дизайна,медиа технологий, а также разработки современных медиа продуктов, таких как веб-приложения, анимации, компьютерные игры и другие. Это позволяет им успешно применять полученные знания и креативные навыки в индустрии медиа и дизайна"
Каков срок обучения в Astana IT University (AITU)?,Срок обучения в Astana IT University (AITU) составляет 3 года
Какова длительность учебного года в AITU?,"Учебный год в Astana IT University (AITU) состоит из 3 триместров, каждый из которых длится 10 недель"
Какова продолжительность одного триместра в AITU?, Один триместр в Astana IT University (AITU) длится 10 недель
Какова продолжительность академического занятия в AITU?,Продолжительность академического занятия в Astana IT University (AITU) составляет 50 минут
акая цель департамента науки и инноваций в Astana IT University?,"Цель департамента науки и инноваций в Astana IT University - создать условия для организации и эффективной деятельности научно-инновационных команд, включающих студентов, магистрантов и докторантов университета, с целью реализации инновационных научно-технических идей, социальных и бизнес-проектов"
Какие научно-инновационные центры открыты в Astana IT University?,"В Astana IT University открыты следующие научно-инновационные центры:
1. НИЦ Industry 4.0 - ведет исследования по направлениям: исследование, оптимизация и моделирование интеллектуальных индустриальных решений.
2. НИЦ AgroTech - ведет исследования по направлениям: дистанционное зондирование, точное земледелие и животноводство, БПЛА и робототехника, цифровые карты полей.
3. НИЦ Smartcity - ведет исследования по созданию интеллектуальных решений для умных городов будущего через науку, инновации и успешные коллаборации, с использованием информационно-коммуникационных технологий и искусственного интеллекта.
4. НИЦ Big Data and Blockchain Technologies - ведет исследования по направлениям: искусственный интеллект, большие данные и блокчейн-технологии."
Какой научно-исследовательский журнал выпускается на базе Astana IT University?,"На базе Astana IT University выпускается международный научный журнал Scientific Journal of Astana IT University, в котором публикуются работы ученых разных стран. Этот журнал позволяет научному сообществу университета эффективно сотрудничать на международном уровне, и запланировано вхождение журнала в базу данных Scopus и Web of Science"
Каковы шаги для поступления на бакалавриат в Astana IT University?,"Шаги для поступления на бакалавриат в Astana IT University:
1. Сдача вступительного экзамена AITU Excellence Test. Абитуриенты должны ознакомиться с информацией на официальном сайте университета.
2. Регистрация на портале приема абитуриентов по ссылке abitur.astanait.edu.kz
3. Собрать необходимые документы, список которых предоставлен на соответствующей странице университета
4. Сдать документы. Все подготовленные документы необходимо сдать с 10 по 24 августа лично или через нотариально доверенное лицо по адресу: г. Астана, Мәңгілік Ел проспект, 55/11"
Какие языки обучения предлагаются для бакалавриата в Astana IT University?,Обучение на бакалавриате в Astana IT University предлагается на английском языке.
Какие возможности предоставляет университет для студенческой жизни и участия в стартап-сообществе?,Astana IT University предоставляет яркую студенческую жизнь и возможности участия в стартап-сообществе. Университет поддерживает стартап-коммьюнити и предоставляет возможности для студентов активно участвовать в стартап-проектах и предпринимательской деятельности
Какие образовательные программы предлагает Astana IT University для бакалавриата?,"Astana IT University предлагает разнообразные образовательные программы для бакалавриата, информация о которых предоставляется на официальном сайте университета: https://astanait.edu.kz/programs/"
Какая образовательная программа предлагается в докторантуре с кодом 8D06101?,В докторантуре с кодом 8D06101 предлагается образовательная программа Computer Science (Компьютерные науки)
Какая образовательная программа предлагается в докторантуре с кодом 8D04102?,В докторантуре с кодом 8D04102 предлагается образовательная программа Project Management (Управление проектами)
Какая цель образовательной программы Компьютерные науки (код 8D06101) в докторантуре?,"Цель образовательной программы Компьютерные науки в докторантуре (код 8D06101) заключается в подготовке докторов философии (PhD) через реализацию теоретических и/или прикладных исследований в областях вычислимости, формальных методов, моделирования, алгоритмов, а также организационного сопровождения инженерии на стыке компьютерных наук и других областей знаний."
Какие задачи ставят перед образовательной программой Компьютерные науки в докторантуре?,"Образовательная программа Компьютерные науки в докторантуре направлена на формирование у обучающихся следующих задач:
1.Навыков определения технологических проблем, критической и экспертной оценки путей их решения и прогноза ожидаемых результатов на стыке компьютерных наук и иных областей знаний,
2.Научного подхода к решению задач, способности синтезировать неочевидные решения проблем, формулировать их в виде проектных задач и оценивать ход их исполнения.
3.Навыков научного стиля повествования (изложения) для объяснения сложных концепций и инновационных идей широкой публике и научному сообществу в письменном виде и риторике, 
4.Навыков педагогической, научной и конструкторской деятельности, составления отчетов, публикации результатов в рейтинговых журналах и разработки научно-технической документации"
Какие результаты обучения предполагаются после успешного завершения образовательной программы Компьютерные науки в докторантуре?,"После успешного завершения образовательной программы ""Компьютерные науки"" в докторантуре обучающийся будет способен:
1. Определить объем и задачи исследований с теоретической и практической ориентацией на программирование, кодирование и вычисления; составлять и оформлять научные отчеты, научную и техническую документацию в процессе написания диссертации и/или публикации статьи в рейтинговых изданиях.
2. Синтезировать и/или подбирать соответствующий подход к реализации научно-экспериментального исследования на стыке наук; выбирать и использовать методы обработки и интерпретации данных; ставить и решать прикладные задачи относительно соответствующих моделей, алгоритмов и архитектур.
3. Применять проектный подход науке: распределять ресурсы и организовывать труд в соответствие с Agile манифестом; анализировать риски и взаимодействовать с заинтересованными сторонами на основе принципов гибкого подхода.
4. Объяснять сложные идеи, создавать концептуальные диаграммы, описывающие строение систем, явления и процессы.
5. Формализовать алгоритмы, вычислительные модели и компьютерные программы, анализировать их свойства; использовать формальную модель для представления результатов.
6. Критически анализировать свойства различных классов аналитических задач и аргументировано синтезировать метод их решения с учетом аспектов валидации и интерпретации результатов."
Какие типы жилых помещений предоставляет университет своим студентам?,"Университет предоставляет студентам три типа жилых помещений: двухместные, трехместные и четырехместные комнаты."
Какие условия проживания предоставляются студентам в общежитии университета?,"В общежитии университета для студентов предоставляются хорошие условия проживания, включая учебные комнаты, комнаты отдыха, кухни и столовые, а также прачечные. Также у каждого жилого комплекса есть воспитатели и администраторы, которые обеспечивают поддержку и контроль за порядком."
Какие категории студентов имеют приоритет при распределении мест в общежитии?,"При распределении мест в общежитии приоритет имеют следующие категории студентов:
1. Лица с ограниченными возможностями в развитии, инвалиды и инвалиды с детства, дети-инвалиды, дети-сироты и дети, оставшиеся без попечения родителей, лица, у которых один или оба родителя являются инвалидами.
2. Лица, оставшиеся без попечения родителей до совершеннолетия, приравненные по льготам к участникам и инвалидам Великой Отечественной войны, лица из числа сельской молодежи, поступившие на обучение по образовательным программам, определяющим социально-экономическое развитие села, а также оралманы, не являющиеся гражданами Республики Казахстан.
3. Обучающиеся, в рамках проекта «Мәңгілік ел жастары — индустрияға!» («Серпін — 2050»).
4. Обучающиеся с высокими достижениями в образовании и научной работе, победители или призеры олимпиад и конкурсов"
Как студенты могут подать заявление на предоставление места в общежитии?,"Чтобы получить место в общежитии университета, иногородние студенты должны подать заявление на предоставление места через онлайн систему на официальном сайте университета. При подаче заявления необходимо прикрепить соответствующие документы, такие как удостоверение личности и документы, подтверждающие льготы (если таковые имеются)."
"Что необходимо сделать студентам, которым предоставлено место в общежитии, чтобы заключить договор на проживание?","Студенты, которым предоставлено место в общежитии, должны в установленный срок заключить Договор аренды жилого помещения с университетом. Для этого они должны предоставить удостоверение личности, ордер на заселение, медицинскую справку с результатами медицинского обследования в студенческой поликлинике и квитанцию об оплате за проживание."
Какие способы оплаты предусмотрены для оплаты за проживание в общежитии?,"Студенты могут оплатить проживание в общежитии следующими способами:
1. Через мобильное приложение Halyk Bank - Homebank.
2. На кассе отделения Halyk Bank."
Какие условия обеспечиваются для комфорта проживания студентов в общежитии?,"Для комфорта проживания студентов в общежитии университета предусмотрены учебные комнаты, комнаты отдыха, кухни и столовые. Также общежитие оснащено прачечной с автоматическими стиральными машинами, сушильными и гладильными комнатами. Для студентов доступен интернет через Wi-Fi. Каждая комната оборудована кроватями, рабочими столами и шкафами."
Срок обучения в AITU?,"Срок обучения в AITU — 3 года. Наши студенты оканчивают университет на 1 год раньше, за счет интенсивности обучения. Студенты AITU учатся до июля месяца, тем самым закрывают больше кредитов."
Какова стоимость обучения у вас в университете?,"Стоимость обучения в нашем университете составляет 2,500,000 (два миллиона пятьсот тысяч) тенге в год, без учета скидок."
Есть ли у вас общежитие?," Да. В 15 минутах от университета расположены три дома студентов для мальчиков и для девочек, в ЖК EXPO Residence."
На каком языке проводится обучение?,Обучение в Astana IT University ведется полностью на английском языке.
Есть ли в университете военная кафедра?,"В Astana IT University имеется военная кафедра. Наши студенты, могут получить звание офицер запаса, по 6 специализациям: кибербезопасность, геоинформационные системы, применение подразделений и частей топогеодезического обеспечения, организация воспитательной и идеологической работы в Сухопутных войсках, организация психологической работы, информационное обеспечение функционирования автоматизированных систем управления."
"Так же могут получить сержант запаса, по 3 специализациям: Топогеодезия, штабные, электронно-вычислительные машины.","Вы можете поступить на военную кафедру, как на грант, так и на платное отделение."
Какой пороговый балл для поступления на грант?,"Порогового балла для поступления на грант не бывает. Для подачи заявления на грант вам нужно набрать не менее 70 или 85 баллов (в зависимости от образовательной программы), а также не менее 5 баллов по каждому предмету на ЕНТ и сдать вступительные экзамены AET. Далее гранты будут распределяться по баллам. В первую очередь гранты получают абитуриенты с наивысшими результатами."
Можно ли поступить в университет с баллами MESC?,"Вы можете поступить в университет с баллами MESC, при условии их конвертации в баллы ЕНТ. Данную процедуру вы можете провести на базе Национального Центра Тестирования."
Можно ли поступить в университет с баллами SAT?,"Вы можете поступить в университет с баллами SAT, при условии их конвертации в баллы ЕНТ. Данную процедуру вы можете провести на базе Национального Центра Тестирования."
**Вопрос 1:** Какие виды скидок предоставляются обучающимся на платной основе в бакалавриате на первом курсе?,"Обучающимся на платной основе в бакалавриате на первом курсе предоставляются следующие виды скидок:
1. Обладателям знака «Алтын белгі» – 30%.
2. Обладателям аттестата особого образца или диплома о техническом и профессиональном образовании с отличием – 30%.
3. Выпускникам, успешно окончившим программу технического и профессионального или послесреднего образования университета – 20%.
4. Победителям и призерам Республиканской олимпиады по профильным предметам образовательной программы и Республиканского конкурса научных проектов по профилю образовательной программы (1 место – 30%, 2 место – 20%, 3 место – 20%).
5. Победителям и призерам областных туров Республиканской олимпиады по профильным предметам образовательной программы и Республиканского конкурса научных проектов по профилю образовательной программы (1 место – 30%, 2 место – 20%, 3 место – 20%).
6. Лицам, набравшим по итогам ЕНТ 100 баллов и выше – 30%.
7. Лицам, имеющим один из международных сертификатов, подтверждающих владение иностранным языком в соответствии с общеевропейскими компетенциями (стандартами) владения иностранным языком – 20% (IELTS, TOEFL ITP, TOEFL IBT, TOEFL PBT, TOEFL PDT).
8. Лицам, у которых один из родителей или оба родителя являются лицом с ограниченными физическими возможностями, или оба родителя являются пенсионерами – 30%.
9. Лицам, у которых один родитель является пенсионером – 20%.
10. Лицам, являющимися детьми из числа неполных семей – 30%.
11. Лицам из многодетных семей, воспитывающих 4 или более несовершеннолетних детей – 30%.
12. Лицам, из семей, обучающих одновременно в университете на программе высшего образования на платной основе двух и более членов семьи – 20%.
13. Сотрудникам, детям сотрудников университета – 50%.
14. Лицам с ограниченными физическими возможностями – 30%.
15. Лицам, оставшимся без попечительства родителей, сиротам – 30%."
Какие скидки присваиваются обучающимся один раз в первом академическом периоде и действуют весь период обучения?,"Скидки, присваиваемые обучающимся один раз в первом академическом периоде и действующие весь период обучения при условии сдачи экзаменационных сессий с оценками А, А-, В+, В, В- и (или) С+, включают следующие скидки: 
1. Обладателям знака «Алтын белгі» – 30%.
2. Обладателям аттестата особого образца или диплома о техническом и профессиональном образовании с отличием – 30%.
3. Выпускникам, успешно окончившим программу технического и профессионального или послесреднего образования университета – 20%.
4. Победителям и **призерам Республиканской олимпиады** по профильным предметам образовательной программы и **Республиканского конкурса научных проектов** по профилю образовательной программы:
1 место – 30%;
2 место – 20%;
3 место – 20%."
"Какие скидки действуют на протяжении всего периода обучения, без ограничения по академическому периоду?","Скидки, действующие на протяжении всего периода обучения без ограничения по академическому периоду, включают следующие виды:
1. Лицам, имеющим один из международных сертификатов, подтверждающих владение иностранным языком в соответствии с общеевропейскими компетенциями (стандартами) владения иностранным языком – 20%.
   - International English Language Tests System (IELTS), пороговый балл – не менее 6.0;
   - Test of English as a Foreign Language Institutional Testing Programm (TOEFL ITP), не менее 163 баллов;
   - Test of English as a Foreign Language Institutional Testing Programm Internet-based Test (TOEFL IBT), пороговый балл – не менее 46;
   - Test of English as a Foreign Language Paper-based testing (TOEFL PBT), пороговый балл – не менее 453;
   - Test of English as a Foreign Language Paper-delivered testing (TOEFL PDT), пороговый балл – не менее 65.
2. Лицам, у которых один из родителей или оба родителя являются лицом с ограниченными физическими возможностями – 30%.
3. Лицам, у которых один родитель является пенсионером – 20%.
4. Лицам, являющимися детьми из числа неполных семей – 30%.
5. Лицам из многодетных семей, воспитывающих 4 или более несовершеннолетних детей – 30%.
6. Лицам, из семей, обучающих одновременно в университете на программе высшего образования на платной основе двух и более членов семьи – 20%.
7. Сотрудникам, детям сотрудников университета – 50%.
8. Лицам с ограниченными физическими возможностями – 30%.
9. Лицам, оставшимся без попечительства родителей, сиротами – 30%."
"Какие скидки могут быть пересмотрены один раз в учебном году и что происходит с обучающимися, не соответствующими критериям?","Скидки, указанные в подпунктах 11, 12 и 13, могут быть пересмотрены один раз в учебном году с целью уточнения соответствия статуса обучающегося критериям соответствующего подпункта. Если обучающийся не соответствует критериям соответствующего подпункта, то он лишается права на получение указанных скидок."
Какие условия позволяют обучающимся претендовать на получение скидки в размере 30% на протяжении всего периода обучения?," Обучающиеся на программах высшего образования на платной основе, не имеющие текущей академической задолженности, набравшие GPA не ниже 3.2 балла за весь период обучения и успешно сдавшие экзаменационную сессию предыдущего академического периода (с оценками А, А-, В+, В, В-) могут претендовать на получение скидки в размере 30%. Эта скидка действует на протяжении всего оставшегося периода обучения при условии сдачи обучающимися экзаменационных сессий с оценками А, А-, В+, В и (или) В-."
рок обучения в AITU?,"Срок обучения в AITU — 3 года. Наши студенты оканчивают университет на 1 год раньше, за счет интенсивности обучения. Студенты AITU учатся до июля месяца, тем самым закрывают больше кредитов."
Какова стоимость обучения у вас в университете?,"Стоимость обучения в нашем университете составляет 2,500,000 (два миллиона пятьсот тысяч) тенге в год, без учета скидок."
Есть ли у вас общежитие?,"Да. В 15 минутах от университета расположены три дома студентов для мальчиков и для девочек, в ЖК EXPO Residence."
На каком языке проводится обучение?,Обучение в Astana IT University ведется полностью на английском языке.
Есть ли в университете военная кафедра?,"В Astana IT University имеется военная кафедра. Наши студенты, могут получить звание офицер запаса, по 6 специализациям: кибербезопасность, геоинформационные системы, применение подразделений и частей топогеодезического обеспечения, организация воспитательной и идеологической работы в Сухопутных войсках, организация психологической работы, информационное обеспечение функционирования автоматизированных систем управления."
"Так же могут получить сержант запаса, по 3 специализациям: Топогеодезия, штабные, электронно-вычислительные машины.","Вы можете поступить на военную кафедру, как на грант, так и на платное отделение."
Какой пороговый балл для поступления на грант?,"Порогового балла для поступления на грант не бывает. Для подачи заявления на грант вам нужно набрать не менее 70 или 85 баллов (в зависимости от образовательной программы), а также не менее 5 баллов по каждому предмету на ЕНТ и сдать вступительные экзамены AET. Далее гранты будут распределяться по баллам. В первую очередь гранты получают абитуриенты с наивысшими результатами."
Можно ли поступить в университет с баллами MESC?,"Вы можете поступить в университет с баллами MESC, при условии их конвертации в баллы ЕНТ. Данную процедуру вы можете провести на базе Национального Центра Тестирования."
Можно ли поступить в университет с баллами SAT?,"Вы можете поступить в университет с баллами SAT, при условии их конвертации в баллы ЕНТ. Данную процедуру вы можете провести на базе Национального Центра Тестирования."
